Object ID,Land Area (Square Meters),ALANDHIST,Water Area (Square Meters),AWATERHIST,ZIP Code Tabulation Area FIPS Class Code,EFFDATE,ESTABDATE,Functional Status,Geographic Identifier,Legal/Statistical Area Description Code,MAF/TIGER Feature Class Code,Base Name,Name,OID,Vintage,Zip Code Tabulation Area Code,Decennial Housing Count,Decennial Population Count (100%),Centroid Longitude,Centroid Latitude,Internal Point Longitude,Internal Point Latitude,STGEOMETRY_AREA,STGEOMETRY_LEN,Shape__Area,Shape__Length
41,10530686,10530686,158166,158166,B5,,,S,95118,Z5,G6350,95118,ZCTA5 95118,221704258477020,70,95118,11728,32764,-121.8899295,+37.2558888,-121.8919118,+37.2553638,16902623.4641735,23518.7799507384,0.00108565511754932,0.189661872628195
42,8159701,8159701,130227,130227,B5,,,S,91755,Z5,G6350,91755,ZCTA5 91755,221704258473515,70,91755,9296,27637,-118.1149370,+34.0483341,-118.1143942,+34.0509646,12105679.7752982,20745.9525533015,0.00080941939359036,0.169767191364578
43,9813448,9813448,18177,18177,B5,,,S,91108,Z5,G6350,91108,ZCTA5 91108,221704258472628,70,91108,4577,12777,-118.1135671,+34.1223356,-118.1142336,+34.1223718,14381901.9968597,19861.6993960586,0.000960773928454728,0.164618049389696
44,5104890,5104890,0,0,B5,,,S,90404,Z5,G6350,90404,ZCTA5 90404,221704258471710,70,90404,11156,21995,-118.4738350,+34.0266494,-118.4738350,+34.0266494,7450829.59220555,13958.5275772232,0.000498310558668891,0.116146008797013
45,19144371,19144371,0,0,B5,,,S,91701,Z5,G6350,91701,ZCTA5 91701,221704258473224,70,91701,13510,38778,-117.6003013,+34.1378277,-117.6003013,+34.1378277,28014958.6603282,33967.9958194049,0.00187117873952047,0.285625309138691
46,243050,243050,0,0,B5,,,S,93227,Z5,G6350,93227,ZCTA5 93227,2217026265990879,70,93227,36,137,-119.4185620,+36.3444448,-119.4185620,+36.3444448,375378.43731551,4335.44179870571,2.43992026298656E-05,0.0345490368300494
47,15407584,15407582,0,0,B5,,,S,92831,Z5,G6350,92831,ZCTA5 92831,221704258475904,70,92831,14257,38953,-117.8960355,+33.8795102,-117.8960355,+33.8795102,22411207.6601863,24050.0043097415,0.00150145273232738,0.196793372360531
48,62091638,62091638,0,0,B5,,,S,93625,Z5,G6350,93625,ZCTA5 93625,221704258476417,70,93625,2599,8194,-119.6717516,+36.6242294,-119.6717516,+36.6242294,96586790.8388978,62705.0979541738,0.00625540733290109,0.513263462012036
49,67796538,67769047,1439983,1439719,B5,,,S,92880,Z5,G6350,92880,ZCTA5 92880,221704258475947,70,92880,20526,75365,-117.6105529,+33.9209717,-117.6072536,+33.9253898,100805602.32449,78164.3022982365,0.00675024789688905,0.644813461198716
50,35683237,35683237,0,0,B5,,,S,93616,Z5,G6350,93616,ZCTA5 93616,221704258476403,70,93616,659,2225,-119.5943326,+36.6546796,-119.5943326,+36.6546796,55550671.9200761,41761.0626999755,0.00359629707190834,0.342004046849639
51,51497987,51497987,0,0,B5,,,S,92336,Z5,G6350,92336,ZCTA5 92336,221704258475367,70,92336,26596,100594,-117.4603364,+34.1368622,-117.4603364,+34.1368622,75357956.2963418,51725.4963576002,0.00503337489089972,0.425675237442428
52,34509641,34509641,0,0,B5,,,S,92376,Z5,G6350,92376,ZCTA5 92376,221704258475491,70,92376,22592,84548,-117.3800214,+34.1105366,-117.3800214,+34.1105366,50467430.9163232,39230.1615985622,0.00337191507287571,0.324815638780769
53,12185470,12186966,436199,435635,B5,,,S,92411,Z5,G6350,92411,ZCTA5 92411,221704258475564,70,92411,7106,27014,-117.3229278,+34.1221602,-117.3258080,+34.1228089,18463156.6213767,19019.6830908962,0.00123342208598842,0.156007597054047
54,83385907,83385951,361548,361548,B5,,,S,93033,Z5,G6350,93033,ZCTA5 93033,221704258475992,70,93033,17729,79539,-119.1232400,+34.1538448,-119.1358009,+34.1600933,122598080.253508,82865.8410823739,0.00818703589629877,0.67953054817397
55,411206233,411198544,34587648,34587650,B5,,,S,95327,Z5,G6350,95327,ZCTA5 95327,221704258477160,70,95327,2941,8837,-120.4857970,+37.8490516,-120.4865572,+37.8475300,716165643.648673,217968.237023597,0.0456345592201615,1.75923709084405
56,9363302,9363302,19737,19737,B5,,,S,92313,Z5,G6350,92313,ZCTA5 92313,221704258475308,70,92313,4898,13150,-117.3137346,+34.0313969,-117.3149894,+34.0313174,13696533.7202077,21283.4471082035,0.000915971224912937,0.176896381776381
57,79569221,79558341,1842355,1840806,B5,,,S,92509,Z5,G6350,92509,ZCTA5 92509,221704258475596,70,92509,20921,78166,-117.4454311,+34.0029326,-117.4420038,+34.0032665,118758383.08132,47611.8217915676,0.00794476470741756,0.402330651507055
58,129856111,129856365,723082,723082,B5,,,S,93012,Z5,G6350,93012,ZCTA5 93012,221704258475974,70,93012,14435,37550,-118.9931389,+34.2051784,-118.9914418,+34.2033938,191385744.361054,88416.9964021246,0.0127728604800268,0.737065561107348
59,1386034,1386034,32140,32140,B5,,,S,92140,Z5,G6350,92140,ZCTA5 92140,221704258474739,70,92140,22,2183,-117.1984472,+32.7403521,-117.1977143,+32.7412792,2010107.87498815,7090.06759399569,0.000136439524567322,0.0599780307699545
60,14958350,14958350,0,0,B5,,,S,95131,Z5,G6350,95131,ZCTA5 95131,221704258477043,70,95131,9970,30975,-121.8979476,+37.3872675,-121.8979476,+37.3872675,23736265.1346876,29665.1668953807,0.00152191693678105,0.242702938901157
61,124165262,124218403,13989,13989,B5,,,S,92254,Z5,G6350,92254,ZCTA5 92254,221704258475036,70,92254,3069,12414,-116.0000040,+33.5436985,-115.9982749,+33.5438371,179231547.13269,87989.5102894584,0.0120547766305208,0.735112081169961
62,4246478,4246478,0,0,B5,,,S,90304,Z5,G6350,90304,ZCTA5 90304,221704258471660,70,90304,7239,26058,-118.3587951,+33.9373602,-118.3587951,+33.9373602,6185046.43549159,14500.9652844899,0.000414089892501579,0.120869501836422
63,403869,403869,15634,15634,B5,,,S,90506,Z5,G6350,90506,ZCTA5 90506,221704258471775,70,90506,0,0,-118.3304737,+33.8849127,-118.3299980,+33.8846956,610269.167980175,3091.57044611699,4.08828059335065E-05,0.0256860628657054
64,85773200,85773200,305368,305368,B5,,,S,91301,Z5,G6350,91301,ZCTA5 91301,221704258472695,70,91301,9408,24790,-118.7568604,+34.1231574,-118.7585413,+34.1232861,125919874.442802,61939.6757465464,0.0084119145681143,0.512668830376713
